bounds,label,group,sample,peak_rss_KiB,key
signals,base,BenchmarkCompileFull,2,148328,base-signals-BenchmarkCompileFull-2
signals,final,BenchmarkCompileFull,2,153388,final-signals-BenchmarkCompileFull-2
signals,final,BenchmarkCompileFull,3,151832,final-signals-BenchmarkCompileFull-3
signals,base,BenchmarkCompileFull,3,141668,base-signals-BenchmarkCompileFull-3
signals,base,BenchmarkCompileFull,4,144932,base-signals-BenchmarkCompileFull-4
signals,final,BenchmarkCompileFull,4,151560,final-signals-BenchmarkCompileFull-4
signals,final,BenchmarkCompileFull,5,141380,final-signals-BenchmarkCompileFull-5
signals,base,BenchmarkCompileFull,5,142276,base-signals-BenchmarkCompileFull-5
signals,base,BenchmarkCompileCompact,0,1776000,base-signals-BenchmarkCompileCompact-0
signals,final,BenchmarkCompileCompact,0,1901784,final-signals-BenchmarkCompileCompact-0
signals,final,BenchmarkCompileCompact,1,1812112,final-signals-BenchmarkCompileCompact-1
signals,base,BenchmarkCompileCompact,1,1709548,base-signals-BenchmarkCompileCompact-1
signals,base,BenchmarkCompileCompact,2,1726640,base-signals-BenchmarkCompileCompact-2
signals,final,BenchmarkCompileCompact,2,1839272,final-signals-BenchmarkCompileCompact-2
signals,final,BenchmarkCompileCompact,3,1845744,final-signals-BenchmarkCompileCompact-3
signals,base,BenchmarkCompileCompact,3,1828260,base-signals-BenchmarkCompileCompact-3
signals,base,BenchmarkCompileCompact,4,1893640,base-signals-BenchmarkCompileCompact-4
signals,final,BenchmarkCompileCompact,4,1879700,final-signals-BenchmarkCompileCompact-4
signals,final,BenchmarkCompileCompact,5,1924688,final-signals-BenchmarkCompileCompact-5
signals,base,BenchmarkCompileCompact,5,1762052,base-signals-BenchmarkCompileCompact-5
signals,base,BenchmarkCompile_wago,0,58620,base-signals-BenchmarkCompile_wago-0
signals,final,BenchmarkCompile_wago,0,57808,final-signals-BenchmarkCompile_wago-0
signals,final,BenchmarkCompile_wago,1,58556,final-signals-BenchmarkCompile_wago-1
signals,base,BenchmarkCompile_wago,1,58824,base-signals-BenchmarkCompile_wago-1
signals,base,BenchmarkCompile_wago,2,58936,base-signals-BenchmarkCompile_wago-2
signals,final,BenchmarkCompile_wago,2,58332,final-signals-BenchmarkCompile_wago-2
signals,final,BenchmarkCompile_wago,3,60936,final-signals-BenchmarkCompile_wago-3
signals,base,BenchmarkCompile_wago,3,57012,base-signals-BenchmarkCompile_wago-3
signals,base,BenchmarkCompile_wago,4,94724,base-signals-BenchmarkCompile_wago-4
signals,final,BenchmarkCompile_wago,4,58020,final-signals-BenchmarkCompile_wago-4
signals,final,BenchmarkCompile_wago,5,96328,final-signals-BenchmarkCompile_wago-5
signals,base,BenchmarkCompile_wago,5,58444,base-signals-BenchmarkCompile_wago-5
signals,base,BenchmarkCompile_wazero,0,18108,base-signals-BenchmarkCompile_wazero-0
signals,final,BenchmarkCompile_wazero,0,19276,final-signals-BenchmarkCompile_wazero-0
signals,final,BenchmarkCompile_wazero,1,17800,final-signals-BenchmarkCompile_wazero-1
signals,base,BenchmarkCompile_wazero,1,19088,base-signals-BenchmarkCompile_wazero-1
signals,base,BenchmarkCompile_wazero,2,18920,base-signals-BenchmarkCompile_wazero-2
signals,final,BenchmarkCompile_wazero,2,19500,final-signals-BenchmarkCompile_wazero-2
signals,final,BenchmarkCompile_wazero,3,22484,final-signals-BenchmarkCompile_wazero-3
signals,base,BenchmarkCompile_wazero,3,18308,base-signals-BenchmarkCompile_wazero-3
signals,base,BenchmarkCompile_wazero,4,18228,base-signals-BenchmarkCompile_wazero-4
signals,final,BenchmarkCompile_wazero,4,19172,final-signals-BenchmarkCompile_wazero-4
signals,final,BenchmarkCompile_wazero,5,18156,final-signals-BenchmarkCompile_wazero-5
signals,base,BenchmarkCompile_wazero,5,18616,base-signals-BenchmarkCompile_wazero-5
signals,base,BenchmarkInstantiate_wago,0,20840,base-signals-BenchmarkInstantiate_wago-0
signals,final,BenchmarkInstantiate_wago,0,18324,final-signals-BenchmarkInstantiate_wago-0
signals,final,BenchmarkInstantiate_wago,1,20364,final-signals-BenchmarkInstantiate_wago-1
signals,base,BenchmarkInstantiate_wago,1,20924,base-signals-BenchmarkInstantiate_wago-1
signals,base,BenchmarkInstantiate_wago,2,20480,base-signals-BenchmarkInstantiate_wago-2
signals,final,BenchmarkInstantiate_wago,2,20380,final-signals-BenchmarkInstantiate_wago-2
signals,final,BenchmarkInstantiate_wago,3,18648,final-signals-BenchmarkInstantiate_wago-3
signals,base,BenchmarkInstantiate_wago,3,21092,base-signals-BenchmarkInstantiate_wago-3
signals,base,BenchmarkInstantiate_wago,4,20452,base-signals-BenchmarkInstantiate_wago-4
signals,final,BenchmarkInstantiate_wago,4,20008,final-signals-BenchmarkInstantiate_wago-4
signals,final,BenchmarkInstantiate_wago,5,20216,final-signals-BenchmarkInstantiate_wago-5
signals,base,BenchmarkInstantiate_wago,5,18856,base-signals-BenchmarkInstantiate_wago-5
signals,base,BenchmarkInstantiate_wazero,0,19192,base-signals-BenchmarkInstantiate_wazero-0
signals,final,BenchmarkInstantiate_wazero,0,18796,final-signals-BenchmarkInstantiate_wazero-0
signals,final,BenchmarkInstantiate_wazero,1,21136,final-signals-BenchmarkInstantiate_wazero-1
signals,base,BenchmarkInstantiate_wazero,1,19312,base-signals-BenchmarkInstantiate_wazero-1
signals,base,BenchmarkInstantiate_wazero,2,19232,base-signals-BenchmarkInstantiate_wazero-2
signals,final,BenchmarkInstantiate_wazero,2,21064,final-signals-BenchmarkInstantiate_wazero-2
signals,final,BenchmarkInstantiate_wazero,3,18892,final-signals-BenchmarkInstantiate_wazero-3
signals,base,BenchmarkInstantiate_wazero,3,19068,base-signals-BenchmarkInstantiate_wazero-3
signals,base,BenchmarkInstantiate_wazero,4,19236,base-signals-BenchmarkInstantiate_wazero-4
signals,final,BenchmarkInstantiate_wazero,4,19128,final-signals-BenchmarkInstantiate_wazero-4
signals,final,BenchmarkInstantiate_wazero,5,18996,final-signals-BenchmarkInstantiate_wazero-5
signals,base,BenchmarkInstantiate_wazero,5,19340,base-signals-BenchmarkInstantiate_wazero-5
signals,base,BenchmarkExecFibLoop_wago,0,14356,base-signals-BenchmarkExecFibLoop_wago-0
signals,final,BenchmarkExecFibLoop_wago,0,16224,final-signals-BenchmarkExecFibLoop_wago-0
signals,final,BenchmarkExecFibLoop_wago,1,16248,final-signals-BenchmarkExecFibLoop_wago-1
signals,base,BenchmarkExecFibLoop_wago,1,16416,base-signals-BenchmarkExecFibLoop_wago-1
signals,base,BenchmarkExecFibLoop_wago,2,16444,base-signals-BenchmarkExecFibLoop_wago-2
signals,final,BenchmarkExecFibLoop_wago,2,16428,final-signals-BenchmarkExecFibLoop_wago-2
signals,final,BenchmarkExecFibLoop_wago,3,16096,final-signals-BenchmarkExecFibLoop_wago-3
signals,base,BenchmarkExecFibLoop_wago,3,16536,base-signals-BenchmarkExecFibLoop_wago-3
signals,base,BenchmarkExecFibLoop_wago,4,16684,base-signals-BenchmarkExecFibLoop_wago-4
signals,final,BenchmarkExecFibLoop_wago,4,16184,final-signals-BenchmarkExecFibLoop_wago-4
signals,final,BenchmarkExecFibLoop_wago,5,16328,final-signals-BenchmarkExecFibLoop_wago-5
signals,base,BenchmarkExecFibLoop_wago,5,16648,base-signals-BenchmarkExecFibLoop_wago-5
signals,base,BenchmarkExecFibLoop_wazero,0,18720,base-signals-BenchmarkExecFibLoop_wazero-0
signals,final,BenchmarkExecFibLoop_wazero,0,18644,final-signals-BenchmarkExecFibLoop_wazero-0
signals,final,BenchmarkExecFibLoop_wazero,1,18856,final-signals-BenchmarkExecFibLoop_wazero-1
signals,base,BenchmarkExecFibLoop_wazero,1,18728,base-signals-BenchmarkExecFibLoop_wazero-1
signals,base,BenchmarkExecFibLoop_wazero,2,18808,base-signals-BenchmarkExecFibLoop_wazero-2
signals,final,BenchmarkExecFibLoop_wazero,2,18664,final-signals-BenchmarkExecFibLoop_wazero-2
signals,final,BenchmarkExecFibLoop_wazero,3,18660,final-signals-BenchmarkExecFibLoop_wazero-3
signals,base,BenchmarkExecFibLoop_wazero,3,18900,base-signals-BenchmarkExecFibLoop_wazero-3
signals,base,BenchmarkExecFibLoop_wazero,4,19028,base-signals-BenchmarkExecFibLoop_wazero-4
signals,final,BenchmarkExecFibLoop_wazero,4,18800,final-signals-BenchmarkExecFibLoop_wazero-4
signals,final,BenchmarkExecFibLoop_wazero,5,18516,final-signals-BenchmarkExecFibLoop_wazero-5
signals,base,BenchmarkExecFibLoop_wazero,5,21180,base-signals-BenchmarkExecFibLoop_wazero-5
signals,base,BenchmarkExecFibRec_wago,0,16376,base-signals-BenchmarkExecFibRec_wago-0
signals,final,BenchmarkExecFibRec_wago,0,16328,final-signals-BenchmarkExecFibRec_wago-0
signals,final,BenchmarkExecFibRec_wago,1,16144,final-signals-BenchmarkExecFibRec_wago-1
signals,base,BenchmarkExecFibRec_wago,1,16524,base-signals-BenchmarkExecFibRec_wago-1
signals,base,BenchmarkExecFibRec_wago,2,16268,base-signals-BenchmarkExecFibRec_wago-2
signals,final,BenchmarkExecFibRec_wago,2,16152,final-signals-BenchmarkExecFibRec_wago-2
signals,final,BenchmarkExecFibRec_wago,3,18180,final-signals-BenchmarkExecFibRec_wago-3
signals,base,BenchmarkExecFibRec_wago,3,16308,base-signals-BenchmarkExecFibRec_wago-3
signals,base,BenchmarkExecFibRec_wago,4,16228,base-signals-BenchmarkExecFibRec_wago-4
signals,final,BenchmarkExecFibRec_wago,4,16264,final-signals-BenchmarkExecFibRec_wago-4
signals,final,BenchmarkExecFibRec_wago,5,15920,final-signals-BenchmarkExecFibRec_wago-5
signals,base,BenchmarkExecFibRec_wago,5,18316,base-signals-BenchmarkExecFibRec_wago-5
signals,base,BenchmarkExecFibRec_wazero,0,14412,base-signals-BenchmarkExecFibRec_wazero-0
signals,final,BenchmarkExecFibRec_wazero,0,13984,final-signals-BenchmarkExecFibRec_wazero-0
signals,final,BenchmarkExecFibRec_wazero,1,16560,final-signals-BenchmarkExecFibRec_wazero-1
signals,base,BenchmarkExecFibRec_wazero,1,16348,base-signals-BenchmarkExecFibRec_wazero-1
signals,base,BenchmarkExecFibRec_wazero,2,14556,base-signals-BenchmarkExecFibRec_wazero-2
signals,final,BenchmarkExecFibRec_wazero,2,14064,final-signals-BenchmarkExecFibRec_wazero-2
signals,final,BenchmarkExecFibRec_wazero,3,16016,final-signals-BenchmarkExecFibRec_wazero-3
signals,base,BenchmarkExecFibRec_wazero,3,12600,base-signals-BenchmarkExecFibRec_wazero-3
signals,base,BenchmarkExecFibRec_wazero,4,16460,base-signals-BenchmarkExecFibRec_wazero-4
signals,final,BenchmarkExecFibRec_wazero,4,12568,final-signals-BenchmarkExecFibRec_wazero-4
signals,final,BenchmarkExecFibRec_wazero,5,16268,final-signals-BenchmarkExecFibRec_wazero-5
signals,base,BenchmarkExecFibRec_wazero,5,14476,base-signals-BenchmarkExecFibRec_wazero-5
signals,base,BenchmarkExecCallOverhead_wago,0,16564,base-signals-BenchmarkExecCallOverhead_wago-0
signals,final,BenchmarkExecCallOverhead_wago,0,16448,final-signals-BenchmarkExecCallOverhead_wago-0
signals,final,BenchmarkExecCallOverhead_wago,1,18196,final-signals-BenchmarkExecCallOverhead_wago-1
signals,base,BenchmarkExecCallOverhead_wago,1,16556,base-signals-BenchmarkExecCallOverhead_wago-1
signals,base,BenchmarkExecCallOverhead_wago,2,16520,base-signals-BenchmarkExecCallOverhead_wago-2
signals,final,BenchmarkExecCallOverhead_wago,2,16172,final-signals-BenchmarkExecCallOverhead_wago-2
signals,final,BenchmarkExecCallOverhead_wago,3,16136,final-signals-BenchmarkExecCallOverhead_wago-3
signals,base,BenchmarkExecCallOverhead_wago,3,16508,base-signals-BenchmarkExecCallOverhead_wago-3
signals,base,BenchmarkExecCallOverhead_wago,4,14700,base-signals-BenchmarkExecCallOverhead_wago-4
signals,final,BenchmarkExecCallOverhead_wago,4,16348,final-signals-BenchmarkExecCallOverhead_wago-4
signals,final,BenchmarkExecCallOverhead_wago,5,16148,final-signals-BenchmarkExecCallOverhead_wago-5
signals,base,BenchmarkExecCallOverhead_wago,5,16556,base-signals-BenchmarkExecCallOverhead_wago-5
signals,base,BenchmarkExecCallOverhead_wazero,0,18620,base-signals-BenchmarkExecCallOverhead_wazero-0
signals,final,BenchmarkExecCallOverhead_wazero,0,18844,final-signals-BenchmarkExecCallOverhead_wazero-0
signals,final,BenchmarkExecCallOverhead_wazero,1,18880,final-signals-BenchmarkExecCallOverhead_wazero-1
signals,base,BenchmarkExecCallOverhead_wazero,1,16932,base-signals-BenchmarkExecCallOverhead_wazero-1
signals,base,BenchmarkExecCallOverhead_wazero,2,18836,base-signals-BenchmarkExecCallOverhead_wazero-2
signals,final,BenchmarkExecCallOverhead_wazero,2,18488,final-signals-BenchmarkExecCallOverhead_wazero-2
signals,final,BenchmarkExecCallOverhead_wazero,3,18692,final-signals-BenchmarkExecCallOverhead_wazero-3
signals,base,BenchmarkExecCallOverhead_wazero,3,19392,base-signals-BenchmarkExecCallOverhead_wazero-3
signals,base,BenchmarkExecCallOverhead_wazero,4,18644,base-signals-BenchmarkExecCallOverhead_wazero-4
signals,final,BenchmarkExecCallOverhead_wazero,4,19016,final-signals-BenchmarkExecCallOverhead_wazero-4
signals,final,BenchmarkExecCallOverhead_wazero,5,20740,final-signals-BenchmarkExecCallOverhead_wazero-5
signals,base,BenchmarkExecCallOverhead_wazero,5,21052,base-signals-BenchmarkExecCallOverhead_wazero-5
signals,base,BenchmarkExecHostRoundtrip_wago,0,22520,base-signals-BenchmarkExecHostRoundtrip_wago-0
signals,final,BenchmarkExecHostRoundtrip_wago,0,24596,final-signals-BenchmarkExecHostRoundtrip_wago-0
signals,final,BenchmarkExecHostRoundtrip_wago,1,22424,final-signals-BenchmarkExecHostRoundtrip_wago-1
signals,base,BenchmarkExecHostRoundtrip_wago,1,22396,base-signals-BenchmarkExecHostRoundtrip_wago-1
signals,base,BenchmarkExecHostRoundtrip_wago,2,22428,base-signals-BenchmarkExecHostRoundtrip_wago-2
signals,final,BenchmarkExecHostRoundtrip_wago,2,22496,final-signals-BenchmarkExecHostRoundtrip_wago-2
signals,final,BenchmarkExecHostRoundtrip_wago,3,22460,final-signals-BenchmarkExecHostRoundtrip_wago-3
signals,base,BenchmarkExecHostRoundtrip_wago,3,22716,base-signals-BenchmarkExecHostRoundtrip_wago-3
signals,base,BenchmarkExecHostRoundtrip_wago,4,20528,base-signals-BenchmarkExecHostRoundtrip_wago-4
signals,final,BenchmarkExecHostRoundtrip_wago,4,22204,final-signals-BenchmarkExecHostRoundtrip_wago-4
signals,final,BenchmarkExecHostRoundtrip_wago,5,22472,final-signals-BenchmarkExecHostRoundtrip_wago-5
signals,base,BenchmarkExecHostRoundtrip_wago,5,22472,base-signals-BenchmarkExecHostRoundtrip_wago-5
signals,base,BenchmarkExecHostRoundtrip_wazero,0,17936,base-signals-BenchmarkExecHostRoundtrip_wazero-0
signals,final,BenchmarkExecHostRoundtrip_wazero,0,18200,final-signals-BenchmarkExecHostRoundtrip_wazero-0
signals,final,BenchmarkExecHostRoundtrip_wazero,1,20928,final-signals-BenchmarkExecHostRoundtrip_wazero-1
signals,base,BenchmarkExecHostRoundtrip_wazero,1,18996,base-signals-BenchmarkExecHostRoundtrip_wazero-1
signals,base,BenchmarkExecHostRoundtrip_wazero,2,17244,base-signals-BenchmarkExecHostRoundtrip_wazero-2
signals,final,BenchmarkExecHostRoundtrip_wazero,2,18952,final-signals-BenchmarkExecHostRoundtrip_wazero-2
signals,final,BenchmarkExecHostRoundtrip_wazero,3,18940,final-signals-BenchmarkExecHostRoundtrip_wazero-3
signals,base,BenchmarkExecHostRoundtrip_wazero,3,20748,base-signals-BenchmarkExecHostRoundtrip_wazero-3
signals,base,BenchmarkExecHostRoundtrip_wazero,4,19228,base-signals-BenchmarkExecHostRoundtrip_wazero-4
signals,final,BenchmarkExecHostRoundtrip_wazero,4,18988,final-signals-BenchmarkExecHostRoundtrip_wazero-4
signals,final,BenchmarkExecHostRoundtrip_wazero,5,19008,final-signals-BenchmarkExecHostRoundtrip_wazero-5
signals,base,BenchmarkExecHostRoundtrip_wazero,5,19384,base-signals-BenchmarkExecHostRoundtrip_wazero-5
signals,base,BenchmarkExecGlobalGet_wago,0,16092,base-signals-BenchmarkExecGlobalGet_wago-0
signals,final,BenchmarkExecGlobalGet_wago,0,19796,final-signals-BenchmarkExecGlobalGet_wago-0
signals,final,BenchmarkExecGlobalGet_wago,1,17836,final-signals-BenchmarkExecGlobalGet_wago-1
signals,base,BenchmarkExecGlobalGet_wago,1,17768,base-signals-BenchmarkExecGlobalGet_wago-1
signals,base,BenchmarkExecGlobalGet_wago,2,18088,base-signals-BenchmarkExecGlobalGet_wago-2
signals,final,BenchmarkExecGlobalGet_wago,2,17844,final-signals-BenchmarkExecGlobalGet_wago-2
signals,final,BenchmarkExecGlobalGet_wago,3,17796,final-signals-BenchmarkExecGlobalGet_wago-3
signals,base,BenchmarkExecGlobalGet_wago,3,18160,base-signals-BenchmarkExecGlobalGet_wago-3
signals,base,BenchmarkExecGlobalGet_wago,4,17952,base-signals-BenchmarkExecGlobalGet_wago-4
signals,final,BenchmarkExecGlobalGet_wago,4,17768,final-signals-BenchmarkExecGlobalGet_wago-4
signals,final,BenchmarkExecGlobalGet_wago,5,17848,final-signals-BenchmarkExecGlobalGet_wago-5
signals,base,BenchmarkExecGlobalGet_wago,5,17936,base-signals-BenchmarkExecGlobalGet_wago-5
signals,base,BenchmarkExecGlobalSet_wago,0,18124,base-signals-BenchmarkExecGlobalSet_wago-0
signals,final,BenchmarkExecGlobalSet_wago,0,15608,final-signals-BenchmarkExecGlobalSet_wago-0
signals,final,BenchmarkExecGlobalSet_wago,1,19824,final-signals-BenchmarkExecGlobalSet_wago-1
signals,base,BenchmarkExecGlobalSet_wago,1,18004,base-signals-BenchmarkExecGlobalSet_wago-1
signals,base,BenchmarkExecGlobalSet_wago,2,17580,base-signals-BenchmarkExecGlobalSet_wago-2
signals,final,BenchmarkExecGlobalSet_wago,2,20144,final-signals-BenchmarkExecGlobalSet_wago-2
signals,final,BenchmarkExecGlobalSet_wago,3,17392,final-signals-BenchmarkExecGlobalSet_wago-3
signals,base,BenchmarkExecGlobalSet_wago,3,16084,base-signals-BenchmarkExecGlobalSet_wago-3
signals,base,BenchmarkExecGlobalSet_wago,4,19844,base-signals-BenchmarkExecGlobalSet_wago-4
signals,final,BenchmarkExecGlobalSet_wago,4,15752,final-signals-BenchmarkExecGlobalSet_wago-4
signals,final,BenchmarkExecGlobalSet_wago,5,17756,final-signals-BenchmarkExecGlobalSet_wago-5
signals,base,BenchmarkExecGlobalSet_wago,5,18100,base-signals-BenchmarkExecGlobalSet_wago-5
signals,base,BenchmarkExecLocalGet_wago,0,18076,base-signals-BenchmarkExecLocalGet_wago-0
signals,final,BenchmarkExecLocalGet_wago,0,17708,final-signals-BenchmarkExecLocalGet_wago-0
signals,final,BenchmarkExecLocalGet_wago,1,18116,final-signals-BenchmarkExecLocalGet_wago-1
signals,base,BenchmarkExecLocalGet_wago,1,15988,base-signals-BenchmarkExecLocalGet_wago-1
signals,base,BenchmarkExecLocalGet_wago,2,18068,base-signals-BenchmarkExecLocalGet_wago-2
signals,final,BenchmarkExecLocalGet_wago,2,17896,final-signals-BenchmarkExecLocalGet_wago-2
signals,final,BenchmarkExecLocalGet_wago,3,17748,final-signals-BenchmarkExecLocalGet_wago-3
signals,base,BenchmarkExecLocalGet_wago,3,18076,base-signals-BenchmarkExecLocalGet_wago-3
signals,base,BenchmarkExecLocalGet_wago,4,19788,base-signals-BenchmarkExecLocalGet_wago-4
signals,final,BenchmarkExecLocalGet_wago,4,17856,final-signals-BenchmarkExecLocalGet_wago-4
signals,final,BenchmarkExecLocalGet_wago,5,17728,final-signals-BenchmarkExecLocalGet_wago-5
signals,base,BenchmarkExecLocalGet_wago,5,17964,base-signals-BenchmarkExecLocalGet_wago-5
signals,base,BenchmarkExecMemoryLoad_wago,0,18136,base-signals-BenchmarkExecMemoryLoad_wago-0
signals,final,BenchmarkExecMemoryLoad_wago,0,17568,final-signals-BenchmarkExecMemoryLoad_wago-0
signals,final,BenchmarkExecMemoryLoad_wago,1,17836,final-signals-BenchmarkExecMemoryLoad_wago-1
signals,base,BenchmarkExecMemoryLoad_wago,1,17788,base-signals-BenchmarkExecMemoryLoad_wago-1
signals,base,BenchmarkExecMemoryLoad_wago,2,20040,base-signals-BenchmarkExecMemoryLoad_wago-2
signals,final,BenchmarkExecMemoryLoad_wago,2,17592,final-signals-BenchmarkExecMemoryLoad_wago-2
signals,final,BenchmarkExecMemoryLoad_wago,3,17812,final-signals-BenchmarkExecMemoryLoad_wago-3
signals,base,BenchmarkExecMemoryLoad_wago,3,18032,base-signals-BenchmarkExecMemoryLoad_wago-3
signals,base,BenchmarkExecMemoryLoad_wago,4,18132,base-signals-BenchmarkExecMemoryLoad_wago-4
signals,final,BenchmarkExecMemoryLoad_wago,4,17920,final-signals-BenchmarkExecMemoryLoad_wago-4
signals,final,BenchmarkExecMemoryLoad_wago,5,17512,final-signals-BenchmarkExecMemoryLoad_wago-5
signals,base,BenchmarkExecMemoryLoad_wago,5,17868,base-signals-BenchmarkExecMemoryLoad_wago-5
signals,base,BenchmarkWazeroCompile,0,678392,base-signals-BenchmarkWazeroCompile-0
signals,final,BenchmarkWazeroCompile,0,688796,final-signals-BenchmarkWazeroCompile-0
signals,final,BenchmarkWazeroCompile,1,560004,final-signals-BenchmarkWazeroCompile-1
signals,base,BenchmarkWazeroCompile,1,699040,base-signals-BenchmarkWazeroCompile-1
signals,base,BenchmarkWazeroCompile,2,569744,base-signals-BenchmarkWazeroCompile-2
signals,final,BenchmarkWazeroCompile,2,698232,final-signals-BenchmarkWazeroCompile-2
signals,final,BenchmarkWazeroCompile,3,701608,final-signals-BenchmarkWazeroCompile-3
signals,base,BenchmarkWazeroCompile,3,699444,base-signals-BenchmarkWazeroCompile-3
signals,base,BenchmarkWazeroCompile,4,691380,base-signals-BenchmarkWazeroCompile-4
signals,final,BenchmarkWazeroCompile,4,585456,final-signals-BenchmarkWazeroCompile-4
signals,final,BenchmarkWazeroCompile,5,692976,final-signals-BenchmarkWazeroCompile-5
signals,base,BenchmarkWazeroCompile,5,562688,base-signals-BenchmarkWazeroCompile-5
signals,base,BenchmarkWazeroInstantiate,0,219340,base-signals-BenchmarkWazeroInstantiate-0
signals,final,BenchmarkWazeroInstantiate,0,123448,final-signals-BenchmarkWazeroInstantiate-0
signals,final,BenchmarkWazeroInstantiate,1,137128,final-signals-BenchmarkWazeroInstantiate-1
signals,base,BenchmarkWazeroInstantiate,1,136384,base-signals-BenchmarkWazeroInstantiate-1
signals,base,BenchmarkWazeroInstantiate,2,97324,base-signals-BenchmarkWazeroInstantiate-2
signals,final,BenchmarkWazeroInstantiate,2,96032,final-signals-BenchmarkWazeroInstantiate-2
signals,final,BenchmarkWazeroInstantiate,3,159900,final-signals-BenchmarkWazeroInstantiate-3
signals,base,BenchmarkWazeroInstantiate,3,160728,base-signals-BenchmarkWazeroInstantiate-3
signals,base,BenchmarkWazeroInstantiate,4,140628,base-signals-BenchmarkWazeroInstantiate-4
signals,final,BenchmarkWazeroInstantiate,4,106792,final-signals-BenchmarkWazeroInstantiate-4
