source	line	section	commit	categories	table_header	claim
pr-description.md	52	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| json-as/p1 | 958.9 us | 924.4 us | ~ | 1.14 ms | 1.07 ms | -5.79% |
pr-description.md	53	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| json-as/p4 | 499.8 us | 369.0 us | -26.18% | 643.9 us | 524.3 us | -18.57% |
pr-description.md	54	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| json-as/p8 | 463.7 us | 348.5 us | -24.84% | 597.9 us | 539.4 us | ~ |
pr-description.md	55	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| blake-as/p1 | 262.6 us | 254.7 us | ~ | 310.5 us | 321.1 us | ~ |
pr-description.md	56	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| blake-as/p4 | 244.7 us | 215.9 us | -11.78% | 263.5 us | 259.0 us | ~ |
pr-description.md	57	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| blake-as/p8 | 237.4 us | 206.5 us | -13.02% | 255.4 us | 249.7 us | ~ |
pr-description.md	58	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| lua/p1 | 14.05 ms | 13.01 ms | -7.43% | 17.25 ms | 15.77 ms | -8.58% |
pr-description.md	59	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| lua/p4 | 5.95 ms | 4.12 ms | -30.67% | 7.74 ms | 5.28 ms | -31.73% |
pr-description.md	60	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| lua/p8 | 4.96 ms | 3.01 ms | -39.28% | 6.39 ms | 4.10 ms | -35.79% |
pr-description.md	61	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| sqlite3/p1 | 54.10 ms | 49.89 ms | -7.78% | 65.90 ms | 60.67 ms | -7.93% |
pr-description.md	62	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| sqlite3/p4 | 21.30 ms | 14.39 ms | -32.45% | 26.92 ms | 18.67 ms | -30.66% |
pr-description.md	63	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| sqlite3/p8 | 16.12 ms | 8.60 ms | -46.65% | 20.38 ms | 11.45 ms | -43.80% |
pr-description.md	64	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| ruby/p1 | 585.41 ms | 514.24 ms | -12.16% | 721.06 ms | 619.31 ms | -14.11% |
pr-description.md	65	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| ruby/p4 | 239.55 ms | 141.07 ms | -41.11% | 292.90 ms | 180.24 ms | -38.46% |
pr-description.md	66	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| ruby/p8 | 181.23 ms | 81.18 ms | -55.20% | 230.31 ms | 114.68 ms | -50.21% |
pr-description.md	67	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| esbuild/p1 | 373.83 ms | 341.88 ms | -8.55% | 435.54 ms | 391.33 ms | -10.15% |
pr-description.md	68	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| esbuild/p4 | 155.39 ms | 96.11 ms | -38.15% | 200.37 ms | 129.06 ms | -35.59% |
pr-description.md	69	## Backend compilation: every worker corpus row		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| esbuild/p8 | 125.38 ms | 60.28 ms | -51.92% | 148.09 ms | 67.67 ms | -54.31% |
pr-description.md	75	## Public pipeline: all substantial corpus rows		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| json-as/p1 | 1.69 ms | 1.38 ms | -17.98% | 1.92 ms | 1.61 ms | -16.18% |
pr-description.md	76	## Public pipeline: all substantial corpus rows		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| json-as/p4 | 1.05 ms | 640.5 us | -38.92% | 1.36 ms | 918.5 us | -32.23% |
pr-description.md	77	## Public pipeline: all substantial corpus rows		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| json-as/auto | 996.7 us | 594.4 us | -40.37% | 1.24 ms | 787.3 us | -36.38% |
pr-description.md	78	## Public pipeline: all substantial corpus rows		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| blake-as/p1 | 453.3 us | 361.0 us | -20.36% | 535.5 us | 441.4 us | -17.57% |
pr-description.md	79	## Public pipeline: all substantial corpus rows		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| blake-as/p4 | 412.7 us | 329.6 us | -20.13% | 477.1 us | 385.3 us | -19.24% |
pr-description.md	80	## Public pipeline: all substantial corpus rows		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| blake-as/auto | 418.8 us | 344.9 us | -17.65% | 517.3 us | 437.8 us | -15.37% |
pr-description.md	81	## Public pipeline: all substantial corpus rows		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| lua/p1 | 23.25 ms | 18.40 ms | -20.86% | 27.57 ms | 21.91 ms | -20.52% |
pr-description.md	82	## Public pipeline: all substantial corpus rows		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| lua/p4 | 12.89 ms | 6.67 ms | -48.25% | 15.87 ms | 8.39 ms | -47.15% |
pr-description.md	83	## Public pipeline: all substantial corpus rows		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| lua/auto | 12.63 ms | 6.47 ms | -48.76% | 15.79 ms | 7.98 ms | -49.47% |
pr-description.md	84	## Public pipeline: all substantial corpus rows		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| sqlite3/p1 | 87.57 ms | 69.89 ms | -20.19% | 105.06 ms | 84.03 ms | -20.02% |
pr-description.md	85	## Public pipeline: all substantial corpus rows		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| sqlite3/p4 | 45.51 ms | 23.11 ms | -49.23% | 56.14 ms | 29.19 ms | -48.00% |
pr-description.md	86	## Public pipeline: all substantial corpus rows		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| sqlite3/auto | 45.05 ms | 23.09 ms | -48.74% | 54.63 ms | 27.89 ms | -48.95% |
pr-description.md	87	## Public pipeline: all substantial corpus rows		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| ruby/p1 | 978.54 ms | 756.46 ms | -22.70% | 1.18 s | 906.03 ms | -22.97% |
pr-description.md	88	## Public pipeline: all substantial corpus rows		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| ruby/p4 | 516.11 ms | 248.63 ms | -51.83% | 623.25 ms | 307.22 ms | -50.71% |
pr-description.md	89	## Public pipeline: all substantial corpus rows		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| ruby/auto | 513.20 ms | 254.55 ms | -50.40% | 618.53 ms | 302.72 ms | -51.06% |
pr-description.md	90	## Public pipeline: all substantial corpus rows		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| esbuild/p1 | 640.70 ms | 511.90 ms | -20.10% | 744.87 ms | 589.19 ms | -20.90% |
pr-description.md	91	## Public pipeline: all substantial corpus rows		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| esbuild/p4 | 362.67 ms | 174.25 ms | -51.95% | 441.42 ms | 231.26 ms | -47.61% |
pr-description.md	92	## Public pipeline: all substantial corpus rows		time	| Corpus/mode | ARM main | ARM branch | ARM delta | AMD main | AMD branch | AMD delta |	| esbuild/auto | 351.96 ms | 174.48 ms | -50.43% | 423.91 ms | 211.63 ms | -50.08% |
pr-description.md	96	## Execution guard: complete executable corpus		time,code-or-storage-size		Generated native bytes are unchanged across every compilation row. Execution
pr-description.md	97	## Execution guard: complete executable corpus				was nevertheless measured across all 36 exported workloads: ARM64 geomean
pr-description.md	98	## Execution guard: complete executable corpus		method-or-checkpoint		`+0.17%`, AMD64 geomean `-1.90%`. Most AMD64 rows were statistically flat;
pr-description.md	99	## Execution guard: complete executable corpus				ARM64 showed mixed positive/negative process-order noise despite identical JIT
pr-description.md	108	## Execution guard: complete executable corpus			| Export | ARM64 | AMD64 |	| Export | ARM64 | AMD64 |
pr-description.md	110	## Execution guard: complete executable corpus			| Export | ARM64 | AMD64 |	| tiny.add | +1.96% | ~ |
pr-description.md	111	## Execution guard: complete executable corpus			| Export | ARM64 | AMD64 |	| fib_iter.fib | +6.98% | ~ |
pr-description.md	112	## Execution guard: complete executable corpus			| Export | ARM64 | AMD64 |	| fib_rec.fib | +3.51% | ~ |
pr-description.md	113	## Execution guard: complete executable corpus			| Export | ARM64 | AMD64 |	| arith.run | +6.98% | ~ |
pr-description.md	114	## Execution guard: complete executable corpus			| Export | ARM64 | AMD64 |	| float.run | +9.51% | ~ |
pr-description.md	116	## Execution guard: complete executable corpus		memory	| Export | ARM64 | AMD64 |	| memory_tree.run | +0.86% | ~ |
pr-description.md	117	## Execution guard: complete executable corpus			| Export | ARM64 | AMD64 |	| globals.accumulate | ~ | +0.19% |
pr-description.md	118	## Execution guard: complete executable corpus			| Export | ARM64 | AMD64 |	| dispatch.apply | +4.91% | ~ |
pr-description.md	119	## Execution guard: complete executable corpus			| Export | ARM64 | AMD64 |	| branches.classify | +4.09% | ~ |
pr-description.md	120	## Execution guard: complete executable corpus			| Export | ARM64 | AMD64 |	| many_funcs.run | +5.66% | ~ |
pr-description.md	122	## Execution guard: complete executable corpus			| Export | ARM64 | AMD64 |	| mandelbrot.render | +8.13% | +0.14% |
pr-description.md	124	## Execution guard: complete executable corpus			| Export | ARM64 | AMD64 |	| nbody.step | +1.86% | ~ |
pr-description.md	126	## Execution guard: complete executable corpus			| Export | ARM64 | AMD64 |	| fannkuch.run | +4.48% | +0.12% |
pr-description.md	128	## Execution guard: complete executable corpus			| Export | ARM64 | AMD64 |	| quicksort.sortN | +4.05% | ~ |
pr-description.md	129	## Execution guard: complete executable corpus			| Export | ARM64 | AMD64 |	| crc32.hashN | ~ | ~ |
pr-description.md	130	## Execution guard: complete executable corpus			| Export | ARM64 | AMD64 |	| sha256.hashN | ~ | ~ |
pr-description.md	132	## Execution guard: complete executable corpus			| Export | ARM64 | AMD64 |	| json-as.serializeN | ~ | +2.18% |
pr-description.md	133	## Execution guard: complete executable corpus			| Export | ARM64 | AMD64 |	| json-as.deserializeN | ~ | +2.02% |
pr-description.md	134	## Execution guard: complete executable corpus			| Export | ARM64 | AMD64 |	| blake-as.hashN | ~ | -0.28% |
pr-description.md	139	## Execution guard: complete executable corpus			| Export | ARM64 | AMD64 |	| swar-pack-parse.parse4 | +3.59% | ~ |
pr-description.md	141	## Execution guard: complete executable corpus			| Export | ARM64 | AMD64 |	| json-as-simd.serializeN | ~ | +0.82% |
pr-description.md	143	## Execution guard: complete executable corpus			| Export | ARM64 | AMD64 |	| blake-as-simd.hashN | +4.85% | -0.29% |
pr-description.md	145	## Execution guard: complete executable corpus		time	| Export | ARM64 | AMD64 |	| utf-as-simd.validateN | +1.31% | ~ |
pr-description.md	151	## Validation		code-or-storage-size		- `go test ./...` on native ARM64.
pr-description.md	152	## Validation		time		- `go test -race ./src/core/compiler/backend/railshot/arm64`.
pr-description.md	153	## Validation		time		- `go test -race ./src/core/compiler/backend/railshot/amd64` on `hub@hub`.
pr-description.md	154	## Validation		code-or-storage-size		- Native AMD64 core, semantic corpus, spectest, regression, and Core 3 suites.
pr-description.md	155	## Validation				- Serial/parallel hint parity tests and deterministic lowest-index failure tests.
pr-description.md	158	## Validation		time,code-or-storage-size		The native AMD64 host's full CLI suite has unrelated environment failures from
pr-description.md	159	## Validation		time		its Go 1.22 toolchain and globally signed-tag configuration; all compiler/runtime
pr-description.md	164	## Rejected probes				- Heavy-first function scheduling: -0.04%, removed.
pr-description.md	165	## Rejected probes				- `encoding/binary.AppendUint32` ARM64 emission: +2.73%, removed.
pr-description.md	166	## Rejected probes		code-or-storage-size		- Cursor-backed ARM64 encoder: +2.76%, removed.
pr-description.md	167	## Rejected probes				- Function-wide hint hotness precomputation: +0.51%, removed; the later
pr-description.md	168	## Rejected probes				  recursion-frame path-weight hoist measured -0.78% and is retained.
pr-description.md	169	## Rejected probes		allocations		- Combined ARM64 inline planning: +2.22% and +1.13% allocations, removed.
pr-description.md	170	## Rejected probes		code-or-storage-size		- Branch-chain replacement for the dense immediate-free opcode table: +0.39%, removed.
pr-description.md	176	## Review map		time	| Area | Primary files | Invariant |	| Validation facts | `wasm/validation_analysis.go`, `validate*.go` | one fixed-size summary per function; validation behavior unchanged |
pr-description.md	180	## Review map			| Area | Primary files | Invariant |	| AMD64 inline scan | `amd64/inline.go` | same target order and all-calls-inline decision |
pr-description.md	182	## Latest native ARM64 checkpoint		code-or-storage-size,method-or-checkpoint		## Latest native ARM64 checkpoint
pr-description.md	188	## Latest native ARM64 checkpoint		time	| Metric | Delta |	| End-to-end compile latency | **-10.93%** |
pr-description.md	189	## Latest native ARM64 checkpoint		time	| Metric | Delta |	| Backend compile latency | **-3.49%** |
pr-description.md	190	## Latest native ARM64 checkpoint		time,memory	| Metric | Delta |	| End-to-end compile heap | **+1.07%** |
pr-description.md	191	## Latest native ARM64 checkpoint		time,memory	| Metric | Delta |	| Backend compile heap | **+0.08%** |
pr-description.md	192	## Latest native ARM64 checkpoint		code-or-storage-size	| Metric | Delta |	| Generated ARM64 code size | **0.00%** on every module |
pr-description.md	193	## Latest native ARM64 checkpoint		time	| Metric | Delta |	| Execution latency | **+0.19%** |
pr-description.md	195	## Latest native ARM64 checkpoint				Lua, SQLite, Ruby, and esbuild improve 18.2-21.8% end to end. The complete
pr-description.md	196	## Latest native ARM64 checkpoint		time,memory		36-module compile table, 36-row execution table, absolute large-module heap,
pr-description.md	197	## Latest native ARM64 checkpoint		method-or-checkpoint		method, retained commits, and rejected ARM64 probes are checked in as
original-REPORT.md	1	# Railshot compile-latency report		time		# Railshot compile-latency report
original-REPORT.md	3	# Railshot compile-latency report		code-or-storage-size		Measured through 2026-09-05 on native ARM64 and Rosetta AMD64. This is a stopping-point report for
original-REPORT.md	4	# Railshot compile-latency report		time		`jairus/railshot-compile-latency`, comparing:
original-REPORT.md	6	# Railshot compile-latency report		method-or-checkpoint		- Base: `main` at `c46f2129edb52e6f30f4d0bfc5ae105cfde0c84d`
original-REPORT.md	7	# Railshot compile-latency report				- Branch implementation through: `96cfd406`
original-REPORT.md	8	# Railshot compile-latency report				- Host: Apple M4 Max, macOS 26.6.2, Go 1.26.5, `darwin/arm64`
original-REPORT.md	10	# Railshot compile-latency report		code-or-storage-size,method-or-checkpoint		The AMD64 checkpoint below used the same host through Rosetta. Native Linux
original-REPORT.md	11	# Railshot compile-latency report		method-or-checkpoint		AMD64 confirmation remains pending because `ssh hub@hub` timed out during this
original-REPORT.md	16	## Pause checkpoint: current branch versus main		code-or-storage-size		This is the requested review pause. The ARM64 numbers are the last exact native
original-REPORT.md	17	## Pause checkpoint: current branch versus main		time,method-or-checkpoint		checkpoint; the later backend commits are AMD64-only, while the validation
original-REPORT.md	18	## Pause checkpoint: current branch versus main				reader changes are shared. The AMD64 numbers below are a fresh comparison of
original-REPORT.md	19	## Pause checkpoint: current branch versus main		code-or-storage-size,method-or-checkpoint		current code at `96cfd406` against pinned `main` using eight
original-REPORT.md	20	## Pause checkpoint: current branch versus main		time,method-or-checkpoint		fresh, interleaved 300 ms samples per revision on Rosetta. Negative latency is
original-REPORT.md	25	## Pause checkpoint: current branch versus main		time	| Architecture and metric | Delta versus `main` |	| ARM64 backend compile latency, five large modules | **-35.70%** |
original-REPORT.md	26	## Pause checkpoint: current branch versus main		time	| Architecture and metric | Delta versus `main` |	| ARM64 full compile latency, five large modules | **-40.20%** |
original-REPORT.md	27	## Pause checkpoint: current branch versus main		time,memory	| Architecture and metric | Delta versus `main` |	| ARM64 backend compile heap | **-6.33%** |
original-REPORT.md	28	## Pause checkpoint: current branch versus main		time,memory	| Architecture and metric | Delta versus `main` |	| ARM64 full compile heap | **-1.62%** |
original-REPORT.md	29	## Pause checkpoint: current branch versus main		code-or-storage-size	| Architecture and metric | Delta versus `main` |	| ARM64 generated machine code | **-4.50%** |
original-REPORT.md	30	## Pause checkpoint: current branch versus main		time	| Architecture and metric | Delta versus `main` |	| ARM64 execution latency, complete corpus | **-0.90%** |
original-REPORT.md	31	## Pause checkpoint: current branch versus main		time	| Architecture and metric | Delta versus `main` |	| AMD64 backend compile latency, five large modules | **-25.58%** |
original-REPORT.md	32	## Pause checkpoint: current branch versus main		time	| Architecture and metric | Delta versus `main` |	| AMD64 full compile latency, five large modules | **-36.26%** |
original-REPORT.md	33	## Pause checkpoint: current branch versus main		time,memory	| Architecture and metric | Delta versus `main` |	| AMD64 backend compile heap | **-0.28%** |
original-REPORT.md	34	## Pause checkpoint: current branch versus main		time,memory,method-or-checkpoint	| Architecture and metric | Delta versus `main` |	| AMD64 full compile heap | +0.24% (effectively flat) |
original-REPORT.md	35	## Pause checkpoint: current branch versus main		code-or-storage-size	| Architecture and metric | Delta versus `main` |	| AMD64 generated machine code | **0.00%** on all five modules |
original-REPORT.md	36	## Pause checkpoint: current branch versus main		time,method-or-checkpoint	| Architecture and metric | Delta versus `main` |	| AMD64 execution latency, complete corpus | -0.25% (flat) |
original-REPORT.md	38	### Fresh AMD64 compile results		time		### Fresh AMD64 compile results
original-REPORT.md	40	### Fresh AMD64 compile results		memory,method-or-checkpoint	| Corpus | Backend main | Backend branch | Delta | Main heap | Branch heap | Heap delta |	| Corpus | Backend main | Backend branch | Delta | Main heap | Branch heap | Heap delta |
original-REPORT.md	42	### Fresh AMD64 compile results		time,memory	| Corpus | Backend main | Backend branch | Delta | Main heap | Branch heap | Heap delta |	| json-as | 800.2 us | 615.2 us | **-23.12%** | 129.8 KiB | 130.4 KiB | +0.43% |
original-REPORT.md	43	### Fresh AMD64 compile results		time,memory	| Corpus | Backend main | Backend branch | Delta | Main heap | Branch heap | Heap delta |	| Lua | 15.33 ms | 11.76 ms | **-23.32%** | 706.2 KiB | 703.1 KiB | -0.44% |
original-REPORT.md	44	### Fresh AMD64 compile results		time,memory	| Corpus | Backend main | Backend branch | Delta | Main heap | Branch heap | Heap delta |	| SQLite | 55.82 ms | 46.48 ms | **-16.74%** | 2.002 MiB | 1.987 MiB | -0.78% |
original-REPORT.md	45	### Fresh AMD64 compile results		time,memory	| Corpus | Backend main | Backend branch | Delta | Main heap | Branch heap | Heap delta |	| Ruby | 671.1 ms | 459.5 ms | **-31.53%** | 14.53 MiB | 14.46 MiB | -0.48% |
original-REPORT.md	46	### Fresh AMD64 compile results		time,memory	| Corpus | Backend main | Backend branch | Delta | Main heap | Branch heap | Heap delta |	| esbuild | 422.3 ms | 286.8 ms | **-32.09%** | 17.78 MiB | 17.76 MiB | -0.12% |
original-REPORT.md	47	### Fresh AMD64 compile results		time,memory	| Corpus | Backend main | Backend branch | Delta | Main heap | Branch heap | Heap delta |	| **Geomean** | 45.46 ms | 33.83 ms | **-25.58%** | 2.143 MiB | 2.137 MiB | **-0.28%** |
original-REPORT.md	49	### Fresh AMD64 compile results		memory,method-or-checkpoint	| Corpus | Full main | Full branch | Delta | Main heap | Branch heap | Heap delta |	| Corpus | Full main | Full branch | Delta | Main heap | Branch heap | Heap delta |
original-REPORT.md	51	### Fresh AMD64 compile results		time,memory	| Corpus | Full main | Full branch | Delta | Main heap | Branch heap | Heap delta |	| json-as | 1.499 ms | 978.4 us | **-34.72%** | 186.8 KiB | 187.8 KiB | +0.54% |
original-REPORT.md	52	### Fresh AMD64 compile results		time,memory	| Corpus | Full main | Full branch | Delta | Main heap | Branch heap | Heap delta |	| Lua | 25.13 ms | 16.30 ms | **-35.13%** | 1.015 MiB | 1.017 MiB | +0.20% |
original-REPORT.md	53	### Fresh AMD64 compile results		time,memory	| Corpus | Full main | Full branch | Delta | Main heap | Branch heap | Heap delta |	| SQLite | 96.10 ms | 63.67 ms | **-33.74%** | 3.652 MiB | 3.660 MiB | +0.21% |
original-REPORT.md	54	### Fresh AMD64 compile results		time,memory	| Corpus | Full main | Full branch | Delta | Main heap | Branch heap | Heap delta |	| Ruby | 1.101 s | 665.1 ms | **-39.58%** | 32.36 MiB | 32.43 MiB | +0.22% |
original-REPORT.md	55	### Fresh AMD64 compile results		time,memory	| Corpus | Full main | Full branch | Delta | Main heap | Branch heap | Heap delta |	| esbuild | 775.0 ms | 481.1 ms | **-37.92%** | 70.46 MiB | 70.49 MiB | +0.03% |
original-REPORT.md	56	### Fresh AMD64 compile results		time,memory	| Corpus | Full main | Full branch | Delta | Main heap | Branch heap | Heap delta |	| **Geomean** | 79.06 ms | 50.39 ms | **-36.26%** | 4.341 MiB | 4.351 MiB | +0.24% |
original-REPORT.md	58	### Fresh AMD64 compile results		time,memory		The newest change replaces AMD64's detailed per-op arena simulation with the
original-REPORT.md	59	### Fresh AMD64 compile results		memory		same coarse bounded body estimate already proven on ARM64. Against its immediate
original-REPORT.md	60	### Fresh AMD64 compile results		memory		predecessor it improves backend compilation **5.57%** and full compilation
original-REPORT.md	61	### Fresh AMD64 compile results		memory		**3.11%**, while reducing backend/full heap **0.38%/0.21%**. It shrinks the
original-REPORT.md	62	### Fresh AMD64 compile results		memory,code-or-storage-size		retained `funcHints` record from 32 to 24 bytes and deletes 586 lines. The five
original-REPORT.md	63	### Fresh AMD64 compile results		memory,method-or-checkpoint		backend improvements were all significant (`p<=0.007`); full-compilation Lua
original-REPORT.md	66	### Fresh AMD64 compile results		memory		The three preceding AMD64 emission/scanner changes improved their immediate
original-REPORT.md	69	### Fresh AMD64 compile results		time,memory,code-or-storage-size	| Incremental AMD64 change | Backend compile | Full compile | Heap | Code |	| Incremental AMD64 change | Backend compile | Full compile | Heap | Code |
original-REPORT.md	71	### Fresh AMD64 compile results		time,memory,code-or-storage-size	| Incremental AMD64 change | Backend compile | Full compile | Heap | Code |	| Direct four-byte `imm32` append | **-1.45%** | **-2.16%** | unchanged | identical sizes |
original-REPORT.md	72	### Fresh AMD64 compile results		time,memory,code-or-storage-size	| Incremental AMD64 change | Backend compile | Full compile | Heap | Code |	| Specialized one-to-four-byte `emit` | **-1.59%** | **-1.37%** | unchanged | identical sizes |
